rank,condition,family_id,house,history_id,task_id,model,session,label,total_decisions,autonomous_decisions,collisions,stopped,repeated_decisions,budget_exhausted,reached_ready,ready_at_stop,stopped_without_terminal,stopped_without_prior_anchor,reached_ready_but_no_valid_stop,stop_native_margin
0,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B1_1209,continuation_run_003,fail,168,50,0,True,0,False,True,False,True,False,True,0.043398767709732056
1,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B2_1209,continuation_run_003,fail,500,382,0,False,118,True,True,False,False,False,True,
2,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_Ours_1209,continuation_run_003,unknown,500,382,374,False,370,True,True,False,False,False,True,
3,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B1_1210,continuation_run_003,fail,500,382,0,False,214,True,True,False,False,False,True,
4,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B2_1210,continuation_run_003,unknown,500,382,374,False,370,True,True,False,False,False,True,
5,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_Ours_1210,continuation_run_003,unknown,500,382,303,False,295,True,True,False,False,False,True,
6,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B1_1211,continuation_run_003,fail,184,66,0,True,0,False,True,False,True,False,True,0.473907470703125
7,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_B2_1211,continuation_run_003,fail,159,41,0,True,0,False,True,False,True,False,True,0.5833837985992432
8,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,S1_Ours_1211,continuation_run_003,unknown,500,382,374,False,370,True,True,False,False,False,True,
9,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B1_1209,continuation_run_003,fail,160,42,0,True,0,False,True,False,True,False,True,0.08496296405792236
10,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B2_1209,continuation_run_003,fail,156,38,0,True,0,False,True,False,True,False,True,1.0350443720817566
11,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_Ours_1209,continuation_run_003,unknown,500,382,108,False,284,True,True,False,False,False,True,
12,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B1_1210,continuation_run_003,fail,157,39,0,True,0,False,True,False,True,False,True,0.10397446155548096
13,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B2_1210,continuation_run_003,fail,158,40,0,True,0,False,True,False,True,False,True,1.1045149564743042
14,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_Ours_1210,continuation_run_003,unknown,500,382,254,False,317,True,True,False,False,False,True,
15,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B1_1211,continuation_run_003,unknown,500,382,314,False,309,True,True,False,False,False,True,
16,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_B2_1211,continuation_run_003,unknown,188,70,2,True,0,False,True,False,True,False,True,0.07869291305541992
17,0,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_A,L3_Ours_1211,continuation_run_003,fail,500,382,0,False,282,True,True,False,False,False,True,
18,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B2_1209,continuation_run_004,unknown,500,382,275,False,266,True,False,False,False,False,False,
19,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_Ours_1209,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
20,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B1_1210,continuation_run_004,unknown,500,382,11,False,124,True,False,False,False,False,False,
21,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B2_1210,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
22,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_Ours_1210,continuation_run_004,unknown,500,382,13,False,289,True,False,False,False,False,False,
23,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B1_1211,continuation_run_004,fail,171,53,0,True,0,False,False,False,True,True,False,0.6867188811302185
24,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B2_1211,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
25,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_Ours_1211,continuation_run_004,unknown,500,382,374,False,370,True,False,False,False,False,False,
26,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B1_1209,continuation_run_004,unknown,188,70,1,True,0,False,False,False,True,True,False,0.2670047879219055
27,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B2_1209,continuation_run_004,fail,176,58,0,True,0,False,False,False,True,True,False,0.2115346798673272
28,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_Ours_1209,continuation_run_004,fail,177,59,0,True,0,False,False,False,True,True,False,0.1822216510772705
29,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B1_1210,continuation_run_004,unknown,500,382,331,False,313,True,False,False,False,False,False,
30,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B2_1210,continuation_run_004,fail,158,40,0,True,0,False,False,False,True,True,False,0.907985270023346
31,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_Ours_1210,continuation_run_004,unknown,500,382,320,False,308,True,False,False,False,False,False,
32,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B1_1211,continuation_run_004,fail,171,53,0,True,0,False,False,False,True,True,False,0.8497050404548645
33,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_B2_1211,continuation_run_004,unknown,500,382,113,False,260,True,False,False,False,False,False,
34,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,L3_Ours_1211,continuation_run_004,fail,500,382,0,False,245,True,False,False,False,False,False,
35,1,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_A,task_B,S1_B1_1209,continuation_run_004,fail,164,46,0,True,0,False,False,False,True,True,False,0.02663332223892212
36,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_Ours_1209,continuation_run_004,fail,175,57,0,True,0,False,False,False,True,True,False,0.31891071796417236
37,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B1_1210,continuation_run_004,pass,168,50,0,True,0,False,True,True,False,False,False,0.356088250875473
38,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B2_1210,continuation_run_004,fail,500,382,0,False,282,True,False,False,False,False,False,
39,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_Ours_1210,continuation_run_004,fail,164,46,0,True,0,False,False,False,True,True,False,0.20182698965072632
40,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B1_1211,continuation_run_004,fail,145,27,0,True,0,False,False,False,True,False,False,0.4032893180847168
41,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B2_1211,continuation_run_004,fail,500,382,0,False,205,True,False,False,False,False,False,
42,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_Ours_1211,continuation_run_004,fail,170,52,0,True,0,False,False,False,True,True,False,1.5356551557779312
43,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B1_1209,continuation_run_004,fail,179,61,0,True,0,False,False,False,True,True,False,0.13546371646225452
44,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B2_1209,continuation_run_004,fail,156,38,0,True,0,False,False,False,True,True,False,1.0350443720817566
45,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_Ours_1209,continuation_run_004,unknown,500,382,103,False,271,True,False,False,False,False,False,
46,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B1_1210,continuation_run_004,fail,157,39,0,True,0,False,False,False,True,True,False,0.10397446155548096
47,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B2_1210,continuation_run_004,fail,158,40,0,True,0,False,False,False,True,True,False,1.1045149564743042
48,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_Ours_1210,continuation_run_004,unknown,500,382,254,False,317,True,False,False,False,False,False,
49,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B1_1211,continuation_run_004,fail,500,382,0,False,285,True,False,False,False,False,False,
50,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_B2_1211,continuation_run_004,unknown,500,382,344,False,336,True,False,False,False,False,False,
51,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,L3_Ours_1211,continuation_run_004,fail,500,382,0,False,326,True,True,False,False,False,True,
52,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B1_1209,continuation_run_004,unknown,199,81,9,True,0,False,True,False,True,False,True,0.1072087287902832
53,2,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_A,S1_B2_1209,continuation_run_004,fail,500,382,0,False,287,True,False,False,False,False,False,
54,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B1_1210,continuation_run_004,unknown,500,382,198,False,187,True,True,False,False,False,True,
55,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B2_1210,continuation_run_004,fail,500,382,0,False,262,True,True,False,False,False,True,
56,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_Ours_1210,continuation_run_004,unknown,500,382,329,False,318,True,True,False,False,False,True,
57,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B1_1211,continuation_run_004,unknown,500,382,290,False,280,True,True,False,False,False,True,
58,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_B2_1211,continuation_run_004,fail,500,382,0,False,253,True,True,False,False,False,True,
59,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,S1_Ours_1211,continuation_run_004,unknown,500,382,374,False,370,True,True,False,False,False,True,
60,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B1_1209,continuation_run_004,fail,180,62,0,True,0,False,True,False,True,False,True,-0.997060239315033
61,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_B2_1209,continuation_run_004,fail,176,58,0,True,0,False,True,False,True,False,True,0.2115346798673272
62,3,V15_NEW_006197dc83ec323cae10,wc2JMjhGNzB,H_B,task_B,L3_Ours_1209,continuation_run_004,fail,177,59,0,True,0,False,True,False,True,False,True,0.1822216510772705
