condition,seed,parent,history,stratum,first_decision,first_offset,original_action,event_action,truth,original_state,event_state,core_margin_delta,state_margin_delta,state_only_restore,core_only_restore,cpu_status,event_final
0,1209,IDENT_cf89bb44251a5e92b71b,seen,terminal_absent,34,0,turn_right,turn_left,"[1, 1, 0, 0]","[1.0, 1.0, 0.03882989287376404, 0.03882989287376404]","[1.0, 1.0, 0.02477545477449894, 0.02477545477449894]",-2.0986175746120925,0.07922511402745197,False,True,CPU_COMMON_PREFIX_REPRODUCED,STOP_WITHOUT_TERMINAL
2,1209,IDENT_cf89bb44251a5e92b71b,seen_sham,terminal_absent,34,0,turn_right,turn_left,"[1, 1, 0, 0]","[1.0, 1.0, 0.03882989287376404, 0.03882989287376404]","[1.0, 1.0, 0.02477545477449894, 0.02477545477449894]",-2.1072824210323806,0.07922511402745197,False,True,CPU_COMMON_PREFIX_REPRODUCED,STOP_WITHOUT_TERMINAL
40,1209,IDENT_b5282c87ae6ba1f6f5a4,seen,terminal_absent,26,0,turn_right,turn_left,"[1, 1, 0, 0]","[1.0, 1.0, 0.551791250705719, 0.551791250705719]","[1.0, 1.0, 0.969376266002655, 0.969376266002655]",-1.8374741077545962,0.14031279088295312,False,True,CPU_COMMON_PREFIX_REPRODUCED,STOP_WITHOUT_TERMINAL
40,1210,IDENT_b5282c87ae6ba1f6f5a4,seen,terminal_absent,34,8,turn_right,turn_left,"[1, 1, 1, 1]","[1.0, 1.0, 0.9727890491485596, 0.9727890491485596]","[1.0, 1.0, 0.9985306262969971, 0.9985306262969971]",-0.904456628588818,0.12120665433802458,False,True,UNAVAILABLE_CAUSAL_FEATURES,STOP_WITHOUT_TERMINAL
42,1209,IDENT_b5282c87ae6ba1f6f5a4,seen_sham,terminal_absent,26,0,turn_right,turn_left,"[1, 1, 0, 0]","[1.0, 1.0, 0.551791250705719, 0.551791250705719]","[1.0, 1.0, 0.969376266002655, 0.969376266002655]",-1.8362661600235781,0.14031279088295312,False,True,CPU_COMMON_PREFIX_REPRODUCED,STOP_WITHOUT_TERMINAL
42,1210,IDENT_b5282c87ae6ba1f6f5a4,seen_sham,terminal_absent,34,8,turn_right,turn_left,"[1, 1, 1, 1]","[1.0, 1.0, 0.9727890491485596, 0.9727890491485596]","[1.0, 1.0, 0.9985306262969971, 0.9985306262969971]",-0.9057965410033688,0.12120665433802458,False,True,UNAVAILABLE_CAUSAL_FEATURES,STOP_WITHOUT_TERMINAL
44,1210,IDENT_b5282c87ae6ba1f6f5a4,missing,terminal_absent,30,4,turn_right,move_forward,"[0, 0, 1, 0]","[1.0, 1.0, 0.956121027469635, 0.956121027469635]","[1.0, 1.0, 0.9586019515991211, 0.9586019515991211]",-0.3207073185486955,0.04150110221339892,False,True,UNAVAILABLE_CAUSAL_FEATURES,BUDGET_EXHAUSTED
46,1210,IDENT_b5282c87ae6ba1f6f5a4,missing_sham,terminal_absent,34,8,turn_right,turn_left,"[0, 0, 1, 0]","[1.0, 1.0, 0.9727890491485596, 0.9727890491485596]","[1.0, 1.0, 0.9985306262969971, 0.9985306262969971]",-0.8972768914977536,0.12120665433802458,False,True,UNAVAILABLE_CAUSAL_FEATURES,STOP_BEFORE_HISTORY
64,1209,IDENT_03004b31b37017519a2b,seen,terminal_present,20,0,STOP,turn_right,"[1, 1, 1, 1]","[0.7723760604858398, 0.7723902463912964, 0.9767424464225769, 0.7544124722480774]","[0.8657386302947998, 0.8657423257827759, 0.9932515025138855, 0.859896183013916]",-1.0821089994087423,0.1669719468727316,False,True,CPU_COMMON_PREFIX_REPRODUCED,BUDGET_EXHAUSTED
64,1210,IDENT_03004b31b37017519a2b,seen,terminal_present,24,4,turn_right,move_forward,"[1, 1, 0, 0]","[0.8029506802558899, 0.8029730916023254, 0.014686677604913712, 0.011792677454650402]","[0.7856513261795044, 0.7856622934341431, 0.03086037002503872, 0.02424549125134945]",-1.1202475241041172,-0.013848144688607233,False,True,UNAVAILABLE_CAUSAL_FEATURES,BUDGET_EXHAUSTED
