arm,available,collisions,condition,cost,decisions,endpoint,exhausted,family_id,history_id,house,legacy_label,model,parent_family_id,path,planned,premature_stop,rank,ready_at_stop,seed,status,stopped,stratum,task_id
ORIGINAL,True,0,0,0.092,46,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,PASS,ORIGINAL_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0000,True,False,0,True,1209,PASS,True,terminal_absent,task_A
REPAIR,True,0,0,0.092,46,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0001,True,False,1,True,1209,PASS,True,terminal_absent,task_A
ORIGINAL,True,0,0,1.0,121,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0002,True,True,2,False,1210,FAIL,True,terminal_absent,task_A
REPAIR,True,0,0,1.0,121,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0003,True,True,3,False,1210,FAIL,True,terminal_absent,task_A
ORIGINAL,True,0,0,1.0,123,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0004,True,True,4,False,1211,FAIL,True,terminal_absent,task_A
REPAIR,True,0,0,1.0,121,main,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,REPAIR_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu0_001/rollouts/0005,True,True,5,False,1211,FAIL,True,terminal_absent,task_A
REPAIR,True,0,1,0.084,42,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,PASS,REPAIR_1209,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0006,True,False,6,True,1209,PASS,True,terminal_absent,task_T
ORIGINAL,True,0,1,1.0,71,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0007,True,True,7,False,1210,FAIL,True,terminal_absent,task_T
REPAIR,True,0,1,1.0,71,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,REPAIR_1210,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0008,True,True,8,False,1210,FAIL,True,terminal_absent,task_T
ORIGINAL,True,0,1,1.0,65,control,False,ABSENT_11fc5516ee9f2eb6c439,seen,2azQ1b91cZZ,FAIL,ORIGINAL_1211,IDENT_cf89bb44251a5e92b71b,research/continuation_memory_v1/evidence_state_policy_v1/event_action_preservation_v1/runs/preserve_001/evaluate/session_gpu1_001/rollouts/0009,True,True,9,False,1211,FAIL,True,terminal_absent,task_T
